id_cliente,nombre,fecha_de_nacimiento,cedula,telefono,direccion,correo,historial_crediticio,capacidad_endeudamiento
1,Cliente_1,2004-02-01,46632757,3576396216,Calle 97 #33-8,cliente1@email.com,Excelente,83301517
2,Cliente_2,1978-09-05,68496914,3278632824,Calle 45 #28-8,cliente2@email.com,Bueno,114758808
3,Cliente_3,2002-03-17,75181765,3845178074,Calle 37 #44-44,cliente3@email.com,Bueno,216128458
4,Cliente_4,2000-11-09,13895645,3421549249,Calle 76 #32-34,cliente4@email.com,Regular,281354969
5,Cliente_5,1993-09-24,62191530,3131081879,Calle 86 #20-3,cliente5@email.com,Bueno,275734915
6,Cliente_6,1973-11-24,55114543,3149382425,Calle 29 #26-39,cliente6@email.com,Excelente,229652331
7,Cliente_7,2011-03-21,99774697,3448294647,Calle 8 #1-14,cliente7@email.com,Bueno,273993323
8,Cliente_8,2018-02-09,64266464,3954852540,Calle 39 #14-50,cliente8@email.com,Bueno,233139888
9,Cliente_9,1981-03-14,32151928,3160257560,Calle 18 #49-17,cliente9@email.com,Excelente,248291091
10,Cliente_10,2003-12-17,72732043,3415001254,Calle 38 #21-8,cliente10@email.com,Bueno,272368555
11,Cliente_11,1977-01-26,27129912,3484897084,Calle 1 #32-48,cliente11@email.com,Bueno,99793533
12,Cliente_12,1996-04-20,93517915,3502482554,Calle 56 #12-9,cliente12@email.com,Bueno,54383454
13,Cliente_13,2002-06-12,81688860,3562446417,Calle 49 #35-46,cliente13@email.com,Excelente,26568214
14,Cliente_14,1987-04-02,13619375,3256304376,Calle 30 #33-36,cliente14@email.com,Regular,128395879
15,Cliente_15,1976-03-29,62884503,3362204999,Calle 86 #23-5,cliente15@email.com,Regular,166814576
16,Cliente_16,1974-02-10,89442503,3670335494,Calle 51 #48-3,cliente16@email.com,Bueno,27553041
17,Cliente_17,1990-06-12,85751409,3542437192,Calle 56 #2-30,cliente17@email.com,Excelente,157560537
18,Cliente_18,1995-12-18,98986321,3707660630,Calle 10 #21-37,cliente18@email.com,Excelente,130711891
19,Cliente_19,1977-02-27,13637575,3832077572,Calle 55 #37-26,cliente19@email.com,Excelente,298626429
20,Cliente_20,1990-11-20,21267237,3950961305,Calle 91 #41-27,cliente20@email.com,Excelente,164978692
21,Cliente_21,1979-01-23,96268397,3293334613,Calle 38 #8-26,cliente21@email.com,Regular,100306504
22,Cliente_22,2004-02-07,67527432,3282518553,Calle 3 #21-11,cliente22@email.com,Excelente,255522551
23,Cliente_23,1994-12-09,28213276,3287979290,Calle 80 #30-45,cliente23@email.com,Regular,275919326
24,Cliente_24,2010-09-05,71968116,3184791618,Calle 47 #6-28,cliente24@email.com,Bueno,284236873
25,Cliente_25,2002-09-24,34391257,3754436820,Calle 14 #16-28,cliente25@email.com,Bueno,70779691
26,Cliente_26,1984-08-04,16749089,3510753814,Calle 76 #26-34,cliente26@email.com,Excelente,71314228
27,Cliente_27,2003-03-19,44917589,3765408938,Calle 11 #26-20,cliente27@email.com,Excelente,153821761
28,Cliente_28,2001-11-15,60882459,3833510170,Calle 96 #22-15,cliente28@email.com,Regular,206957414
29,Cliente_29,1988-10-18,53936531,3358589021,Calle 43 #50-11,cliente29@email.com,Bueno,32339479
30,Cliente_30,1993-12-14,38408562,3634366139,Calle 10 #33-41,cliente30@email.com,Bueno,246956878
31,Cliente_31,1976-05-28,71028710,3726160204,Calle 15 #34-33,cliente31@email.com,Excelente,127328806
32,Cliente_32,1985-05-09,53868501,3253671484,Calle 25 #50-23,cliente32@email.com,Excelente,238253186
33,Cliente_33,2017-12-02,55298556,3349310440,Calle 45 #47-42,cliente33@email.com,Regular,64984407
34,Cliente_34,1991-12-18,60885459,3595155950,Calle 19 #16-7,cliente34@email.com,Excelente,142892529
35,Cliente_35,1984-08-29,47346970,3784944881,Calle 19 #17-13,cliente35@email.com,Regular,169831265
36,Cliente_36,2011-06-22,66581473,3372706093,Calle 23 #39-10,cliente36@email.com,Bueno,27303563
37,Cliente_37,2004-01-16,43859311,3593460064,Calle 98 #49-42,cliente37@email.com,Excelente,251448214
38,Cliente_38,1994-03-21,20993268,3374154962,Calle 10 #12-50,cliente38@email.com,Excelente,151097849
